catalog_id,catalog_name,catalog_url,catalog_purpose,catalog_specialty,catalog_disease,match_name
2203,Absolute Lymphocyte Count (ALC),https://www.mdcalc.com/calc/2203/absolute-lymphocyte-count-alc,"Diagnosis, Formula","Critical Care, Emergency Medicine, Family Practice, Hematology and Oncology, Infectious Disease, Internal Medicine, Palliative Care/Hospice","Coronavirus, HIV/AIDS",absolute lymphocyte count alc
19,Absolute Neutrophil Count (ANC)/none,https://www.mdcalc.com/calc/19/absolute-neutrophil-count-anc,"Diagnosis, Formula","Critical Care, Emergency Medicine, Family Practice, Hematology and Oncology, Infectious Disease, Internal Medicine, Palliative Care/Hospice",Chemotherapy,absolute neutrophil count anc
10419,Abuse Assessment Screen (AAS)/none,https://www.mdcalc.com/calc/10419/abuse-assessment-screen-aas,Prognosis,"Critical Care, Emergency Medicine, Family Practice, Hospitalist Medicine, Internal Medicine, OB-Gyn",Public Health,abuse assessment screen aas
10640,Academic Research Consortium for High Bleeding Risk (ARC-HBR) Criteria,https://www.mdcalc.com/calc/10640/academic-research-consortium-high-bleeding-risk-arc-hbr-criteria,Prognosis,"Cardiology, Critical Care, Critical Care (Neurologic), Emergency Medicine, Hematology and Oncology, Hospitalist Medicine, Internal Medicine, Neurology","Acute Coronary Syndrome, Anemia, CAD, Coronary Artery Disease, Intracranial Hemorrhage, Major Bleeding",academic research consortium for high bleeding risk arc hbr criteria
3826,ACC/AHA Heart Failure Staging/none,https://www.mdcalc.com/calc/3826/acc-aha-heart-failure-staging,Prognosis,Cardiology,Heart Failure,acc aha heart failure staging
10075,ACEF II Risk Score for Cardiac Surgery/none,https://www.mdcalc.com/calc/10075/acef-ii-risk-score-cardiac-surgery,Prognosis,"Cardiology, Critical Care, Emergency Medicine, Family Practice, Hospitalist Medicine, Internal Medicine, Primary Care, Surgery (Cardiothoracic)","Acute Coronary Syndrome, Endocarditis, Heart Failure",acef ii risk score for cardiac surgery
10373,ACEP ED COVID-19 Management Tool/none,https://www.mdcalc.com/calc/10373/acep-ed-covid-19-management-tool,"Algorithm, Diagnosis, Prognosis, Treatment","Critical Care, Emergency Medicine, Hospitalist Medicine, Infectious Disease, Internal Medicine, Pulmonology",Coronavirus,acep ed covid 19 management tool
568,Acetaminophen Overdose and NAC Dosing,https://www.mdcalc.com/calc/568/acetaminophen-overdose-nac-dosing,"Diagnosis, Treatment","Critical Care, Emergency Medicine, Family Practice, Gastroenterology, Hepatology, Hospitalist Medicine, Internal Medicine, Pediatrics, Pharmacy, Primary Care, Toxicology","Hepatitis, Ingestion/Overdose",acetaminophen overdose and nac dosing
10092,ACR/EULAR 2010 Rheumatoid Arthritis Classification Criteria,https://www.mdcalc.com/calc/10092/acr-eular-2010-rheumatoid-arthritis-classification-criteria,Diagnosis,"Hospitalist Medicine, Internal Medicine, Orthopedics, Rheumatology",Rheumatoid Arthritis,acr eular 2010 rheumatoid arthritis classification criteria
2195,ACR/EULAR Gout Classification Criteria,https://www.mdcalc.com/calc/2195/acr-eular-gout-classification-criteria,Diagnosis,"Emergency Medicine, Family Practice, Internal Medicine, Orthopedics, Primary Care, Rheumatology",Gout,acr eular gout classification criteria
10020,ACTION ICU Score for Intensive Care in NSTEMI,https://www.mdcalc.com/calc/10020/action-icu-score-intensive-care-nstemi,Prognosis,"Cardiology, Critical Care, Family Practice, Internal Medicine",Acute Coronary Syndrome,action icu score for intensive care in nstemi
