catalog_id,catalog_name,catalog_url,catalog_purpose,catalog_specialty,catalog_disease,match_name
10466,Edinburgh Postnatal Depression Scale (EPDS),https://www.mdcalc.com/calc/10466/edinburgh-postnatal-depression-scale-epds,Prognosis,"Family Practice, OB-Gyn, Psychiatry",Depression/Suicidality,edinburgh postnatal depression scale epds
10536,Edmonton Obesity Staging System (EOSS)/none,https://www.mdcalc.com/calc/10536/edmonton-obesity-staging-system-eoss,Prognosis,"Clinical Nutrition, Endocrinology, Family Practice, Hospitalist Medicine, Internal Medicine, Primary Care","Acute Coronary Syndrome, Anxiety, Chronic Pain, Coronary Artery Disease, Depression/Suicidality, Diabetes Mellitus, Dyslipidemia, Gastroesophageal Reflux Disease, Heart Failure, Hypertension, Obesity, Obstructive Sleep Apnea, Public Health, Respiratory Failure, Eating Disorder",edmonton obesity staging system eoss
10429,Edmonton Symptom Assessment System-revised (ESAS-r)/none,https://www.mdcalc.com/calc/10429/edmonton-symptom-assessment-system-revised-esas-r,Prognosis,"Critical Care, Emergency Medicine, Hematology and Oncology, Hospitalist Medicine, Internal Medicine, Palliative Care/Hospice, Radiation Oncology",Heart Failure,edmonton symptom assessment system revised esas r
3948,EGSYS (Evaluation of Guidelines in SYncope Study) Score for Syncope,https://www.mdcalc.com/calc/3948/egsys-evaluation-guidelines-syncope-study-score-syncope,"Diagnosis, Prognosis","Cardiology, Emergency Medicine, Neurology","Acute Coronary Syndrome, Atrial Fibrillation, Stroke / Transient Ischemic Attack (TIA)",egsys evaluation of guidelines in syncope study score for syncope
10149,El-Ganzouri Risk Index (EGRI) for Difficult Airway,https://www.mdcalc.com/calc/10149/el-ganzouri-risk-index-egri-difficult-airway,Prognosis,"Anesthesiology, Critical Care, Emergency Medicine, Pulmonology, Surgery (Trauma)",Respiratory Failure,el ganzouri risk index egri for difficult airway
10007,Embolic Stroke of Undetermined Source (ESUS) Criteria/none,https://www.mdcalc.com/calc/10007/embolic-stroke-undetermined-source-esus-criteria,Diagnosis,"Critical Care (Neurologic), Neurology, Neurosurgery",Stroke / Transient Ischemic Attack (TIA),embolic stroke of undetermined source esus criteria
1858,Emergency Department Assessment of Chest Pain Score (EDACS),https://www.mdcalc.com/calc/1858/emergency-department-assessment-chest-pain-score-edacs,Rule Out,"Cardiology, Emergency Medicine, Hospitalist Medicine",Acute Coronary Syndrome,emergency department assessment of chest pain score edacs
10484,Emergency Department-Initiated Buprenorphine for Opioid Use Disorder (EMBED)/none,https://www.mdcalc.com/calc/10484/emergency-department-initiated-buprenorphine-opioid-use-disorder-embed,Formula,"Anesthesiology, Critical Care, Emergency Medicine, Family Practice, Hospitalist Medicine, Internal Medicine, Pain Management, Primary Care, Psychiatry, Toxicology","Chronic Pain, Drug/Alcohol Use, Ingestion/Overdose, Substance Withdrawal",emergency department initiated buprenorphine for opioid use disorder embed
1755,Emergency Heart Failure Mortality Risk Grade (EHMRG),https://www.mdcalc.com/calc/1755/emergency-heart-failure-mortality-risk-grade-ehmrg,Prognosis,"Cardiology, Critical Care, Emergency Medicine, Hospitalist Medicine, Internal Medicine",Heart Failure,emergency heart failure mortality risk grade ehmrg
3928,Endotracheal Tube (ETT) Depth and Tidal Volume Calculator/none,https://www.mdcalc.com/calc/3928/endotracheal-tube-ett-depth-tidal-volume-calculator,Formula,"Critical Care, Critical Care (Neurologic), Emergency Medicine, Internal Medicine, Surgery (Trauma)","Respiratory Failure, Trauma",endotracheal tube ett depth and tidal volume calculator
10612,Eosinophilic Esophagitis Endoscopic Reference Score (EREFS),https://www.mdcalc.com/calc/10612/eosinophilic-esophagitis-endoscopic-reference-score-erefs,Diagnosis,Gastroenterology,Eosinophilic Esophagitis,eosinophilic esophagitis endoscopic reference score erefs
10015,EPIPHANY Index for Pulmonary Embolism (PE) in Cancer,https://www.mdcalc.com/calc/10015/epiphany-index-pulmonary-embolism-pe-cancer,Prognosis,"Critical Care, Emergency Medicine, Hematology and Oncology, Pulmonology, Surgery (General)","Pulmonary Embolism, Venous Thromboembolism",epiphany index for pulmonary embolism pe in cancer
1299,Estimated Average Glucose (eAG) From HbA1C/none,https://www.mdcalc.com/calc/1299/estimated-average-glucose-eag-hba1c,Formula,"Emergency Medicine, Endocrinology, Family Practice, Geriatrics, Hospitalist Medicine, Internal Medicine, Pediatrics",Diabetes Mellitus,estimated average glucose eag from hba1c
3813,Estimated Ethanol (and Toxic Alcohol) Serum Concentration Based on Ingestion/none,https://www.mdcalc.com/calc/3813/estimated-ethanol-toxic-alcohol-serum-concentration-based-ingestion,Formula,"Critical Care, Emergency Medicine, Pharmacy, Toxicology",Drug/Alcohol Use,estimated ethanol and toxic alcohol serum concentration based on ingestion
790,Estimated/Expected Peak Expiratory Flow (Peak Flow)/none,https://www.mdcalc.com/calc/790/estimated-expected-peak-expiratory-flow-peak-flow,"Prognosis, Formula","Emergency Medicine, Family Practice, Hospitalist Medicine, Internal Medicine, Pediatrics, Primary Care, Pulmonology","Asthma, Chronic Obstructive Pulmonary Disease",estimated expected peak expiratory flow peak flow
10477,EUROMACS-RHF Score/none,https://www.mdcalc.com/calc/10477/euromacs-rhf-score,Prognosis,"Cardiology, Critical Care, Emergency Medicine, Hospitalist Medicine, Internal Medicine, Surgery (Cardiothoracic)","Acute Coronary Syndrome, Heart Failure",euromacs rhf score
10179,European System for Cardiac Operative Risk Evaluation (EuroSCORE) II,https://www.mdcalc.com/calc/10179/european-system-cardiac-operative-risk-evaluation-euroscore-ii,Prognosis,"Cardiology, Hospitalist Medicine, Internal Medicine, Surgery (Cardiothoracic)",Acute Coronary Syndrome,european system for cardiac operative risk evaluation euroscore ii
3906,EUTOS Score for Chronic Myelogenous Leukemia (CML),https://www.mdcalc.com/calc/3906/eutos-score-chronic-myelogenous-leukemia-cml,Prognosis,Hematology and Oncology,"Cancer, Chemotherapy, Hematologic Malignancy, Leukemia/Lymphoma",eutos score for chronic myelogenous leukemia cml
10175,EVendo Score for Esophageal Varices,https://www.mdcalc.com/calc/10175/evendo-score-esophageal-varices,Diagnosis,"Gastroenterology, Hepatology, Hospitalist Medicine, Internal Medicine, Surgery (General)","Chronic Liver Disease, Hypertension",evendo score for esophageal varices
2146,Expanded Disability Status Scale (EDSS) / Functional Systems Score (FSS)/none,https://www.mdcalc.com/calc/2146/expanded-disability-status-scale-edss-functional-systems-score-fss,Diagnosis,Neurology,Multiple Sclerosis,expanded disability status scale edss functional systems score fss
10629,FACE DROPS,https://www.mdcalc.com/calc/10629/face-drops,Prognosis,"Emergency Medicine, Family Practice, Infectious Disease, Neurology, Otolaryngology, Primary Care","Bacterial Infections, Facial palsy, Neuropathy, Lyme Disease",face drops
10560,Fat Free Mass (FFM)/none,https://www.mdcalc.com/calc/10560/fat-free-mass-ffm,"Formula, Formula","Anesthesiology, Clinical Nutrition, Critical Care",Any/All,fat free mass ffm
10001,Fatty Liver Index,https://www.mdcalc.com/calc/10001/fatty-liver-index,"Diagnosis, Prognosis","Family Practice, Gastroenterology, Hepatology, Internal Medicine","Hepatitis, Hepatocellular Carcinoma",fatty liver index
4024,Fetal Biophysical Profile (BPP) Score,https://www.mdcalc.com/calc/4024/fetal-biophysical-profile-bpp-score,Prognosis,OB-Gyn,Pregnancy,fetal biophysical profile bpp score
3316,FeverPAIN Score for Strep Pharyngitis,https://www.mdcalc.com/calc/3316/feverpain-score-strep-pharyngitis,"Diagnosis, Rule Out, Treatment","Emergency Medicine, Family Practice, Internal Medicine, Oral and Maxillofacial Surgery, Otolaryngology, Pediatrics","Pharyngitis, Strep Pharyngitis",feverpain score for strep pharyngitis
2200,Fibrosis-4 (FIB-4) Index for Liver Fibrosis,https://www.mdcalc.com/calc/2200/fibrosis-4-fib-4-index-liver-fibrosis,Diagnosis,"Gastroenterology, Hepatology, Infectious Disease, Internal Medicine, Primary Care","Chronic Liver Disease, Hepatitis, HIV/AIDS",fibrosis 4 fib 4 index for liver fibrosis
10508,Fibrotic NASH Index (FNI),https://www.mdcalc.com/calc/10508/fibrotic-nash-index-fni,Rule Out,"Family Practice, Gastroenterology, Hepatology, Hospitalist Medicine, Internal Medicine, Primary Care","Chronic Liver Disease, Diabetes Mellitus, Hepatitis, Obesity",fibrotic nash index fni
10633,Field Assessment Stroke Triage for Emergency Destination (FAST-ED),https://www.mdcalc.com/calc/10633/field-assessment-stroke-triage-emergency-destination-fast-ed,Prognosis,"Critical Care, Critical Care (Neurologic), Emergency Medicine, Family Practice, Internal Medicine, Neurology, Neurosurgery, Primary Care, Radiology","Acute Ischemic Stroke, Large Vessel Occlusion, Stroke / Transient Ischemic Attack (TIA)",field assessment stroke triage for emergency destination fast ed
10108,FIGO Staging for Ovarian Cancer (2014)/none,https://www.mdcalc.com/calc/10108/figo-staging-ovarian-cancer-2014,Diagnosis,"OB-Gyn, Internal Medicine, Hospitalist Medicine, Hematology and Oncology, Radiology, Radiation Oncology, Gastroenterology",Ovarian Cancer,figo staging for ovarian cancer 2014
4000,FINDRISC (Finnish Diabetes Risk Score),https://www.mdcalc.com/calc/4000/findrisc-finnish-diabetes-risk-score,Prognosis,"Endocrinology, Family Practice, Hospitalist Medicine, Internal Medicine",Diabetes Mellitus,findrisc finnish diabetes risk score
3836,Fisher Grading Scale for Subarachnoid Hemorrhage (SAH)/none,https://www.mdcalc.com/calc/3836/fisher-grading-scale-subarachnoid-hemorrhage-sah,Prognosis,"Critical Care (Neurologic), Emergency Medicine, Neurology, Neurosurgery",Subarachnoid Hemorrhage,fisher grading scale for subarachnoid hemorrhage sah
10062,Fleischner Society Guidelines for Incidental Pulmonary Nodules/none,https://www.mdcalc.com/calc/10062/fleischner-society-guidelines-incidental-pulmonary-nodules,Treatment,"Pulmonology, Hematology and Oncology, Hospitalist Medicine, Infectious Disease, Internal Medicine",Lung Cancer,fleischner society guidelines for incidental pulmonary nodules
4037,Focused Assessment with Sonography for Trauma (FAST),https://www.mdcalc.com/calc/4037/focused-assessment-sonography-trauma-fast,Diagnosis,"Critical Care, Emergency Medicine, Surgery (Trauma)",Trauma,focused assessment with sonography for trauma fast
2320,Follicular Lymphoma International Prognostic Index (FLIPI)/none,https://www.mdcalc.com/calc/2320/follicular-lymphoma-international-prognostic-index-flipi,Prognosis,"Hematology and Oncology, Internal Medicine","Cancer, Chemotherapy, Hematologic Malignancy",follicular lymphoma international prognostic index flipi
4051,Fomepizole Dosing/none,https://www.mdcalc.com/calc/4051/fomepizole-dosing,Formula,"Emergency Medicine, Pharmacy, Toxicology",Ingestion/Overdose,fomepizole dosing
3925,Fong Clinical Risk Score for Colorectal Cancer Recurrence/none,https://www.mdcalc.com/calc/3925/fong-clinical-risk-score-colorectal-cancer-recurrence,Prognosis,"Gastroenterology, Hematology and Oncology, Hepatology, Surgery (General)",Cancer,fong clinical risk score for colorectal cancer recurrence
10348,For Patients: VACO Index COVID-19 Mortality Risk/none,https://www.mdcalc.com/calc/10348/covid-risk,Prognosis,"Cardiology, Critical Care, Emergency Medicine, Family Practice, Hematology and Oncology, Hospitalist Medicine, Internal Medicine, Primary Care, Pulmonology, Surgery (General)",Coronavirus,for patients vaco index covid 19 mortality risk
3923,Forrest Classification of Upper GI Bleeding/none,https://www.mdcalc.com/calc/3923/forrest-classification-upper-gi-bleeding,Prognosis,"Emergency Medicine, Gastroenterology, Surgery (General)","Anemia, Gastrointestinal Bleeding",forrest classification of upper gi bleeding
10028,FOUR (Full Outline of UnResponsiveness) Score,https://www.mdcalc.com/calc/10028/four-full-outline-unresponsiveness-score,Prognosis,"Critical Care, Critical Care (Neurologic), Emergency Medicine, Neurology","Sepsis, Stroke / Transient Ischemic Attack (TIA)",four full outline of unresponsiveness score
60,Fractional Excretion of Sodium (FENa)/none,https://www.mdcalc.com/calc/60/fractional-excretion-sodium-fena,"Diagnosis, Formula","Critical Care, Emergency Medicine, Family Practice, Geriatrics, Hospitalist Medicine, Internal Medicine, Nephrology, Primary Care, Surgery (General)","Acid-Base Disturbance, Acute Kidney Injury, Renal Failure",fractional excretion of sodium fena
62,Fractional Excretion of Urea (FEUrea),https://www.mdcalc.com/calc/62/fractional-excretion-urea-feurea,"Diagnosis, Formula","Critical Care, Emergency Medicine, Family Practice, Geriatrics, Hospitalist Medicine, Internal Medicine, Nephrology, Primary Care","Acid-Base Disturbance, Acute Kidney Injury, Heart Failure, Renal Failure",fractional excretion of urea feurea
10540,FRACTURE Index/none,https://www.mdcalc.com/calc/10540/fracture-index,Prognosis,"Emergency Medicine, Endocrinology, Family Practice, Geriatrics, Hospitalist Medicine, Internal Medicine, Orthopedics, Primary Care","Fracture, Osteoporosis",fracture index
3800,Framingham Heart Failure Diagnostic Criteria,https://www.mdcalc.com/calc/3800/framingham-heart-failure-diagnostic-criteria,Diagnosis,"Cardiology, Critical Care, Emergency Medicine, Family Practice, Primary Care",Heart Failure,framingham heart failure diagnostic criteria
38,Framingham Risk Score for Hard Coronary Heart Disease/none,https://www.mdcalc.com/calc/38/framingham-risk-score-hard-coronary-heart-disease,Prognosis,"Cardiology, Critical Care, Emergency Medicine, Endocrinology, Family Practice, Geriatrics, Hospitalist Medicine, Internal Medicine, Primary Care","Acute Coronary Syndrome, Coronary Artery Disease, Dyslipidemia, Heart Failure",framingham risk score for hard coronary heart disease
113,Free Water Deficit in Hypernatremia/none,https://www.mdcalc.com/calc/113/free-water-deficit-hypernatremia,"Treatment, Formula","Critical Care, Emergency Medicine, Endocrinology, Family Practice, Geriatrics, Hospitalist Medicine, Internal Medicine, Nephrology",Hypernatremia,free water deficit in hypernatremia
3012,Fuhrman Nuclear Grade for Clear Cell Renal Carcinoma/none,https://www.mdcalc.com/calc/3012/fuhrman-nuclear-grade-clear-cell-renal-carcinoma,Prognosis,"Hematology and Oncology, Hospitalist Medicine, Internal Medicine, Nephrology, Radiation Oncology, Radiology, Urology","Chemotherapy, Renal Cell Carcinoma",fuhrman nuclear grade for clear cell renal carcinoma
3883,Functional Outcome in Patients With Primary Intracerebral Hemorrhage (FUNC) Score/none,https://www.mdcalc.com/calc/3883/functional-outcome-patients-primary-intracerebral-hemorrhage-func-score,Prognosis,"Critical Care (Neurologic), Emergency Medicine, Neurology, Neurosurgery, Radiology, Surgery (General)","Intracranial Hemorrhage, Stroke / Transient Ischemic Attack (TIA)",functional outcome in patients with primary intracerebral hemorrhage func score
10426,G8 Geriatric Screening Tool,https://www.mdcalc.com/calc/10426/g8-geriatric-screening-tool,Diagnosis,"Geriatrics, Hematology and Oncology, Radiation Oncology",Cancer,g8 geriatric screening tool
1727,GAD-7 (General Anxiety Disorder-7),https://www.mdcalc.com/calc/1727/gad7-general-anxiety-disorder7,Diagnosis,"Family Practice, Internal Medicine, Primary Care, Psychiatry","Anxiety, Depression/Suicidality",gad 7 general anxiety disorder 7
3647,Gail Model for Breast Cancer Risk,https://www.mdcalc.com/calc/3647/gail-model-breast-cancer-risk,Prognosis,"Family Practice, Hematology and Oncology, Internal Medicine, OB-Gyn, Radiation Oncology, Radiology, Surgery (General)",Breast Cancer,gail model for breast cancer risk
10094,GALAD Model for Hepatocellular Carcinoma (HCC),https://www.mdcalc.com/calc/10094/galad-model-hepatocellular-carcinoma-hcc,"Formula, Diagnosis","Hematology and Oncology, Hepatology, Hospitalist Medicine, Internal Medicine",Hepatocellular Carcinoma,galad model for hepatocellular carcinoma hcc
10139,Ganzoni Equation for Iron Deficiency Anemia/none,https://www.mdcalc.com/calc/10139/ganzoni-equation-iron-deficiency-anemia,Formula,"Hematology and Oncology, Hospitalist Medicine, Internal Medicine",Anemia,ganzoni equation for iron deficiency anemia
2157,GAP Index for Idiopathic Pulmonary Fibrosis (IPF) Mortality/none,https://www.mdcalc.com/calc/2157/gap-index-idiopathic-pulmonary-fibrosis-ipf-mortality,Prognosis,"Critical Care, Hospitalist Medicine, Internal Medicine, Palliative Care/Hospice, Pulmonology",Idiopathic Pulmonary Fibrosis,gap index for idiopathic pulmonary fibrosis ipf mortality
10504,GARFIELD-AF/none,https://www.mdcalc.com/calc/10504/garfield-af,Prognosis,"Cardiology, Critical Care, Critical Care (Neurologic), Emergency Medicine, Family Practice, Hematology and Oncology, Hospitalist Medicine, Internal Medicine, Neurology, Primary Care","Atrial Fibrillation, Bleeding/Hemorrhage, Intracranial Hemorrhage, Subarachnoid Hemorrhage, Stroke / Transient Ischemic Attack (TIA)",garfield af
10140,GCS-Pupils Score,https://www.mdcalc.com/calc/10140/gcs-pupils-score,Prognosis,"Surgery (Trauma), Neurology, Neurosurgery, Critical Care, Emergency Medicine","Trauma, Traumatic Brain Injury",gcs pupils score
10578,Genetically Inspired Prognostic Scoring System (GIPSS) for Primary Myelofibrosis (PMF)/none,https://www.mdcalc.com/calc/10578/genetically-inspired-prognostic-scoring-system-gipss-primary-myelofibrosis-pmf,Prognosis,"Hematology and Oncology, Hospitalist Medicine, Internal Medicine, Pathology, Primary Care","Anemia, Hematologic Malignancy, Thrombocytopenia, Myelofibrosis, Pancytopenia",genetically inspired prognostic scoring system gipss for primary myelofibrosis pmf
10073,Geneva Risk Score for Venous Thromboembolism (VTE) Prophylaxis,https://www.mdcalc.com/calc/10073/geneva-risk-score-venous-thromboembolism-vte-prophylaxis,"Prognosis, Treatment","Cardiology, Critical Care, Hospitalist Medicine, Internal Medicine, Surgery (General), Surgery (Vascular)","Deep Venous Thrombosis, Pulmonary Embolism, Venous Thromboembolism",geneva risk score for venous thromboembolism vte prophylaxis
1750,Geneva Score (Revised) for Pulmonary Embolism,https://www.mdcalc.com/calc/1750/geneva-score-revised-pulmonary-embolism,"Diagnosis, Rule Out","Cardiology, Critical Care, Emergency Medicine, Hematology and Oncology, Hospitalist Medicine, Internal Medicine, OB-Gyn, Orthopedics, Pulmonology, Surgery (General)",Pulmonary Embolism,geneva score revised for pulmonary embolism
10566,Geriatric Depression Scale (GDS-15),https://www.mdcalc.com/calc/10566/geriatric-depression-scale-gds-15,Prognosis,"Family Practice, Geriatrics, Hospitalist Medicine, Internal Medicine, Primary Care, Psychiatry","Bipolar Disorder, Depression/Suicidality",geriatric depression scale gds 15
10558,Gillmore Staging System for Transthyretin Amyloid Cardiomyopathy (ATTR-CM)/none,https://www.mdcalc.com/calc/10558/gillmore-staging-system-transthyretin-amyloid-cardiomyopathy-attr-cm,Prognosis,"Cardiology, Family Practice, Hospitalist Medicine, Internal Medicine, Primary Care","Heart Failure, Cardiomyopathy, Amyloidosis",gillmore staging system for transthyretin amyloid cardiomyopathy attr cm
680,Glasgow Alcoholic Hepatitis Score,https://www.mdcalc.com/calc/680/glasgow-alcoholic-hepatitis-score,Prognosis,"Critical Care, Emergency Medicine, Gastroenterology, Hepatology, Hospitalist Medicine, Internal Medicine, Toxicology","Drug/Alcohol Use, Chronic Liver Disease, Hepatitis, Hepatocellular Carcinoma, Ingestion/Overdose",glasgow alcoholic hepatitis score
64,Glasgow Coma Scale (GCS),https://www.mdcalc.com/calc/64/glasgow-coma-scale-score-gcs,Diagnosis,"Critical Care, Emergency Medicine, Geriatrics, Hospitalist Medicine, Internal Medicine, Neurology, Neurosurgery, Surgery (Trauma), Toxicology","Coronavirus, Delirium, Dementia, Ingestion/Overdose, Meningitis, Trauma",glasgow coma scale gcs
10608,Glasgow Modified Alcohol Withdrawal Scale (GMAWS)/none,https://www.mdcalc.com/calc/10608/glasgow-modified-alcohol-withdrawal-scale-gmaws,Treatment,"Emergency Medicine, Hospitalist Medicine, Primary Care, Psychiatry, Toxicology","Drug/Alcohol Use, Ingestion/Overdose",glasgow modified alcohol withdrawal scale gmaws
3311,Glasgow Prognostic Score (GPS) for Cancer Outcomes/none,https://www.mdcalc.com/calc/3311/glasgow-prognostic-score-gps-cancer-outcomes,Prognosis,"Endocrinology, Family Practice, Gastroenterology, Hematology and Oncology, Hepatology, Hospitalist Medicine, Internal Medicine, Radiation Oncology","Cancer, Chemotherapy, Pancreatic Cancer",glasgow prognostic score gps for cancer outcomes
518,Glasgow-Blatchford Bleeding Score (GBS),https://www.mdcalc.com/calc/518/glasgow-blatchford-bleeding-score-gbs,"Prognosis, Treatment","Critical Care, Emergency Medicine, Gastroenterology, Hematology and Oncology, Hepatology, Hospitalist Medicine, Internal Medicine","Bleeding/Hemorrhage, Inflammatory Bowel Disease, Gastrointestinal Bleeding",glasgow blatchford bleeding score gbs
3287,Glasgow-Imrie Criteria for Severity of Acute Pancreatitis,https://www.mdcalc.com/calc/3287/glasgow-imrie-criteria-severity-acute-pancreatitis,"Algorithm, Prognosis","Gastroenterology, Hepatology, Hospitalist Medicine, Internal Medicine, Surgery (General)",Pancreatitis,glasgow imrie criteria for severity of acute pancreatitis
2048,Gleason Score for Prostate Cancer/none,https://www.mdcalc.com/calc/2048/gleason-score-prostate-cancer,"Diagnosis, Prognosis","Hematology and Oncology, Pathology, Urology",Cancer,gleason score for prostate cancer
3919,Global Initiative for Obstructive Lung Disease (GOLD) Criteria for COPD/none,https://www.mdcalc.com/calc/3919/global-initiative-obstructive-lung-disease-gold-criteria-copd,Prognosis,"Critical Care, Emergency Medicine, Geriatrics, Internal Medicine, Pulmonology",Chronic Obstructive Pulmonary Disease,global initiative for obstructive lung disease gold criteria for copd
10538,Glucose Infusion Rate (GIR)/none,https://www.mdcalc.com/calc/10538/glucose-infusion-rate-gir,Formula,"Clinical Nutrition, Endocrinology, Family Practice, Hospitalist Medicine, Internal Medicine, Pharmacy, Primary Care","Diabetes Mellitus, Hyperglycemia, Obesity, Hypoglycemia",glucose infusion rate gir
10033,GO-FAR (Good Outcome Following Attempted Resuscitation) Score,https://www.mdcalc.com/calc/10033/go-far-good-outcome-following-attempted-resuscitation-score,Prognosis,"Cardiology, Critical Care, Critical Care (Neurologic), Emergency Medicine, Geriatrics, Hospitalist Medicine, Internal Medicine, Neurology, Palliative Care/Hospice, Rehabilitation Medicine",Any/All,go far good outcome following attempted resuscitation score
1099,GRACE ACS Risk and Mortality Calculator,https://www.mdcalc.com/calc/1099/grace-acs-risk-mortality-calculator,Prognosis,"Cardiology, Emergency Medicine, Family Practice, Hospitalist Medicine, Internal Medicine, Primary Care",Acute Coronary Syndrome,grace acs risk and mortality calculator
10393,Graded Prognostic Assessment for Gastrointestinal Cancer (GI-GPA)/none,https://www.mdcalc.com/calc/10393/graded-prognostic-assessment-for-gastrointestinal-cancer-gigpa,Prognosis,"Critical Care (Neurologic), Gastroenterology, Hematology and Oncology, Neurology, Neurosurgery, Pathology","Cancer, Gastric Cancer",graded prognostic assessment for gastrointestinal cancer gi gpa
10559,Grogan Staging System for Transthyretin Amyloid Cardiomyopathy (ATTR-CM)/none,https://www.mdcalc.com/calc/10559/grogan-staging-system-transthyretin-amyloid-cardiomyopathy-attr-cm,Prognosis,"Cardiology, Family Practice, Hospitalist Medicine, Internal Medicine, Primary Care","Heart Failure, Cardiomyopathy, Amyloidosis",grogan staging system for transthyretin amyloid cardiomyopathy attr cm
2321,Groupe d'Etude des Lymphomes Folliculaires (GELF) Criteria/none,https://www.mdcalc.com/calc/2321/groupe-detude-des-lymphomes-folliculaires-gelf-criteria,Prognosis,"Hematology and Oncology, Internal Medicine","Cancer, Chemotherapy, Hematologic Malignancy, Leukemia/Lymphoma",groupe d etude des lymphomes folliculaires gelf criteria
4038,Gupta Perioperative Risk for Myocardial Infarction or Cardiac Arrest (MICA)/none,https://www.mdcalc.com/calc/4038/gupta-perioperative-risk-myocardial-infarction-cardiac-arrest-mica,Prognosis,"Cardiology, Oral and Maxillofacial Surgery, Surgery (Cardiothoracic), Surgery (General), Surgery (Plastic), Surgery (Vascular)","Acute Coronary Syndrome, Acute Pain, Appendicitis, Cholecystitis, Crohn's Disease, Fracture, Hernia, Inflammatory Bowel Disease, Melanoma",gupta perioperative risk for myocardial infarction or cardiac arrest mica
10199,Gupta Postoperative Pneumonia Risk/none,https://www.mdcalc.com/calc/10199/gupta-postoperative-pneumonia-risk,Prognosis,"Anesthesiology, Family Practice, Hospitalist Medicine, Internal Medicine, Oral and Maxillofacial Surgery, Pulmonology, Surgery (Cardiothoracic), Surgery (General), Surgery (Plastic), Surgery (Trauma)",Pneumonia,gupta postoperative pneumonia risk
10193,Gupta Postoperative Respiratory Failure Risk/none,https://www.mdcalc.com/calc/10193/gupta-postoperative-respiratory-failure-risk,Prognosis,"Anesthesiology, Critical Care, Family Practice, Hospitalist Medicine, Internal Medicine, Oral and Maxillofacial Surgery, Pulmonology, Surgery (Cardiothoracic), Surgery (General), Surgery (Plastic), Surgery (Trauma)",Respiratory Failure,gupta postoperative respiratory failure risk
3829,GWTG-Heart Failure Risk Score,https://www.mdcalc.com/calc/3829/gwtg-heart-failure-risk-score,Prognosis,"Cardiology, Critical Care, Geriatrics, Hospitalist Medicine, Internal Medicine, Pulmonology",Heart Failure,gwtg heart failure risk score
10105,H2FPEF Score for Heart Failure with Preserved Ejection Fraction,https://www.mdcalc.com/calc/10105/h2fpef-score-for-heart-failure-with-preserved-ejection-fraction,Diagnosis,"Cardiology, Hospitalist Medicine, Internal Medicine, Surgery (Cardiothoracic)",Heart Failure,h2fpef score for heart failure with preserved ejection fraction
10415,Hack’s Impairment Index (HII)/none,https://www.mdcalc.com/calc/10415/hacks-impairment-index-hii,Prognosis,"Emergency Medicine, Hospitalist Medicine",Drug/Alcohol Use,hack s impairment index hii
10460,HACOR Score,https://www.mdcalc.com/calc/10460/hacor-score,Prognosis,"Cardiology, Family Practice, Internal Medicine, Pulmonology","Acute Respiratory Distress Syndrome, Anemia, Asthma, Heart Failure, Idiopathic Pulmonary Fibrosis, Obstructive Sleep Apnea, Pneumonia, Pneumonitis, Pulmonary Embolism, Respiratory Failure, Chronic Obstructive Pulmonary Disease",hacor score
1843,Hamilton Anxiety Scale/none,https://www.mdcalc.com/calc/1843/hamilton-anxiety-scale,Diagnosis,"Family Practice, Geriatrics, Internal Medicine, Primary Care, Psychiatry","Anxiety, Depression/Suicidality",hamilton anxiety scale
10043,Hamilton Depression Rating Scale (HAM-D)/none,https://www.mdcalc.com/calc/10043/hamilton-depression-rating-scale-hamd,"Diagnosis, Treatment","Emergency Medicine, Family Practice, Geriatrics, Neurology, Primary Care","Anxiety, Depression/Suicidality, Drug/Alcohol Use",hamilton depression rating scale ham d
3286,Harmless Acute Pancreatitis Score (HAPS),https://www.mdcalc.com/calc/3286/harmless-acute-pancreatitis-score-haps,Prognosis,"Critical Care, Gastroenterology, Hepatology, Internal Medicine, Surgery (General)",Pancreatitis,harmless acute pancreatitis score haps
10069,Harvey-Bradshaw Index (HBI) for Crohn's Disease/none,https://www.mdcalc.com/calc/10069/harvey-bradshaw-index-hbi-crohns-disease,Prognosis,Gastroenterology,"Inflammatory Bowel Disease, Crohn's Disease",harvey bradshaw index hbi for crohn s disease
807,HAS-BLED Score for Major Bleeding Risk/none,https://www.mdcalc.com/calc/807/has-bled-score-major-bleeding-risk,"Prognosis, Treatment","Cardiology, Critical Care, Emergency Medicine, Family Practice, Geriatrics, Hematology and Oncology, Hospitalist Medicine, Internal Medicine, Neurology, Primary Care","Arrhythmia, Atrial Fibrillation, Bleeding/Hemorrhage, Gastrointestinal Bleeding, Stroke / Transient Ischemic Attack (TIA)",has bled score for major bleeding risk
2030,HAT (Hemorrhage After Thrombolysis) Score for Predicting Post-tPA Hemorrhage,https://www.mdcalc.com/calc/2030/hat-hemorrhage-thrombolysis-score-predicting-post-tpa-hemorrhage,Prognosis,"Critical Care, Critical Care (Neurologic), Emergency Medicine, Hematology and Oncology, Hospitalist Medicine, Neurology, Neurosurgery, Radiology","Intracranial Hemorrhage, Stroke / Transient Ischemic Attack (TIA)",hat hemorrhage after thrombolysis score for predicting post tpa hemorrhage
